#,Age,Age,Dataset
1,25.12,25.120250448592415,ABIDE_I
2,12.92,12.921259088170835,ABIDE_I
3,19.8,19.800690281588906,ABIDE_I
4,12.15,12.151322748209802,ABIDE_I
5,14.77,14.771106138726568,ABIDE_I
6,17.36,17.36089200950459,ABIDE_I
7,13.28,13.281654574507783,ABIDE_I
8,19.16,19.160743193829084,ABIDE_I
9,13.95,13.951599182006348,ABIDE_I
10,30.66,30.659792427013365,ABIDE_I
11,24.6,24.600293439787563,ABIDE_I
12,27.92,27.920018957541632,ABIDE_I
13,33.17,33.16958491182141,ABIDE_I
14,13.78,13.781187987348092,ABIDE_I
15,17.13,17.130911024840906,ABIDE_I
16,15.7,15.701029250627558,ABIDE_I
17,20.65,20.65062000751992,ABIDE_I
18,15.35,15.351058187008903,ABIDE_I
19,11.81,11.8113508578374,ABIDE_I
20,15.82,15.821444579054578,ABIDE_I
21,14.37,14.371139208876679,ABIDE_I
22,12.83,12.83126652895461,ABIDE_I
23,33.24,33.239579124545145,ABIDE_I
24,9.44,9.441546798476807,ABIDE_I
25,23.1,23.100417452850483,ABIDE_I
26,21.22,21.22099813202806,ABIDE_I
27,20.34,20.340645636886258,ABIDE_I
28,14,14.001169798765531,ABIDE_I
29,14,14.001169798765531,ABIDE_I
30,16,16.001004448014974,ABIDE_I
31,17,17.000921772639693,ABIDE_I
32,10,10.001500500266655,ABIDE_I
33,21,21.000591071138572,ABIDE_I
34,21,21.000591071138572,ABIDE_I
35,20,20.00067374651385,ABIDE_I
36,13,13.001252474140813,ABIDE_I
37,14,14.001169798765531,ABIDE_I
38,17,17.000921772639693,ABIDE_I
39,15,15.001512372862308,ABIDE_I
40,20,20.001098995985906,ABIDE_I
41,23,23.00042572038801,ABIDE_I
42,15,15.001087123390251,ABIDE_I
43,21,21.000591071138572,ABIDE_I
44,10.5,10.501459162579014,ABIDE_I
45,11.55,11.55137235343497,ABIDE_I
46,10.29,10.291476524407823,ABIDE_I
47,11.45,11.451380620972493,ABIDE_I
48,9.15,9.151570774335642,ABIDE_I
49,8.94,8.941588136164448,ABIDE_I
50,9.4,9.401550105491818,ABIDE_I
51,8.86,8.861594750194474,ABIDE_I
52,9.69,9.69152612963299,ABIDE_I
53,8.2,8.20164931594216,ABIDE_I
54,10.08,10.081493886236629,ABIDE_I
55,9.69,9.69152612963299,ABIDE_I
56,11.99,11.991335976269845,ABIDE_I
57,10.53,10.531456682317756,ABIDE_I
58,10.64,10.641447588026477,ABIDE_I
59,14.75,14.751107792234075,ABIDE_I
60,13.35,13.351223537759465,ABIDE_I
61,12.58,12.581287197798432,ABIDE_I
62,12.91,12.911259914924589,ABIDE_I
63,14.98,14.981088776897758,ABIDE_I
64,15.28,15.281063974285173,ABIDE_I
65,15.53,15.53104330544135,ABIDE_I
66,13.88,13.881179719810566,ABIDE_I
67,13.77,13.771614063573903,ABIDE_I
68,12.08,12.081328535486069,ABIDE_I
69,16.05,16.05100031424621,ABIDE_I
70,14.86,14.86109869794279,ABIDE_I
71,14.1,14.101586780700057,ABIDE_I
72,8.67,8.672035707987835,ABIDE_I
73,13.78,13.781613236820146,ABIDE_I
74,16.57,16.57095732305106,ABIDE_I
75,16.6,16.600954842789804,ABIDE_I
76,16.13,16.130993700216184,ABIDE_I
77,12.38,12.381728982345543,ABIDE_I
78,14.76,14.761106965480321,ABIDE_I
79,16.88,16.881356943156778,ABIDE_I
80,12.9,12.901260741678342,ABIDE_I
81,14.91,14.911094564174027,ABIDE_I
82,19.83,19.83068780132765,ABIDE_I
83,20.33,20.330646463640008,ABIDE_I
84,20.08,20.080667132483825,ABIDE_I
85,21.33,21.330563788264726,ABIDE_I
86,19.08,19.080749807859107,ABIDE_I
87,25.66,25.660205803889763,ABIDE_I
88,12.25,12.251314480672272,ABIDE_I
89,15.91,15.911011888798749,ABIDE_I
90,17.5,17.50088043495205,ABIDE_I
91,14.41,14.411135901861666,ABIDE_I
92,14.66,14.66111523301785,ABIDE_I
93,19.33,19.330729139015286,ABIDE_I
94,19.66,19.660701856141447,ABIDE_I
95,15.3,15.30106232077767,ABIDE_I
96,17.4,17.40088870248958,ABIDE_I
97,17.1,17.100913505102167,ABIDE_I
98,16.1,16.100996180477445,ABIDE_I
99,17.2,17.200905237564633,ABIDE_I
100,10.4,10.40146743011654,ABIDE_I
101,10.2,10.201483965191596,ABIDE_I
102,11,11.001417824891373,ABIDE_I
103,17.8,17.80085563233947,ABIDE_I
104,14.3,14.301570245625005,ABIDE_I
105,11.8,11.80135168459115,ABIDE_I
106,13.5,13.501636385925227,ABIDE_I
107,18,18.00083909726441,ABIDE_I
108,16.1,16.1014214299495,ABIDE_I
